,id,name,railway,public_transport,station_code,network,internet_access,lat,lon,Station Code,Station Name,District,State,Trains passing through
369,663759851,Jhilmil,station,station,,Delhi Metro,,28.675719700000002,77.3123949,,,,,
370,663760328,Vivek Vihar,station,station,VVB,IR,no,28.6731908,77.31829470000001,VVB,Viveka Vihar,Shahadra,Delhi,1
371,663761411,Shastri Nagar,station,station,,Delhi Metro,,28.670088500000002,77.18185890000001,,,,,
372,663761428,Inderlok (Red Line),station,station,,Delhi Metro,,28.6735891,77.17034670000001,,,,,
373,663761505,Kanhaiya Nagar,station,station,,Delhi Metro,,28.6824082,77.16477540000001,,,,,
374,663762151,Keshav Puram,station,station,,Delhi Metro,,28.688926400000003,77.1616833,,,,,
375,663762964,Netaji Subhash Place (Red Line),station,station,,Delhi Metro,,28.696048500000003,77.1524856,,,,,
376,663765153,Pitam Pura,station,station,,Delhi Metro,,28.7032676,77.1322497,,,,,
377,663766390,Rohini East,station,station,,Delhi Metro,,28.7075774,77.1259971,,,,,
378,663839267,Dakshineshwar,station,station,DAKE,IR,,22.653847600000002,88.3637563,DAKE,Dakshineswar,North 24 Parganas,West Bengal,16
379,663950711,Hooghly Ghat,station,station,HYG,IR,,22.9049023,88.39656310000001,HYG,Hooghly Ghat,Hooghly,West Bengal,2
380,663950712,Hooghly,station,station,HGY,IR,,22.905211400000002,88.3760639,HGY,Hooghly,Hooghly,West Bengal,0
381,664194936,Ujjain Junction,station,station,UJN,IR,no,23.1795347,75.781954,UJN,Ujjain Jn,Ujjain,Madhya Pradesh,122
382,664210317,Dewas Junction,station,station,DWX,IR,no,22.9780228,76.0519637,DWX,Dewas,Dewas,Madhya Pradesh,74
383,664256999,Maksi Junction,station,station,MKC,IR,no,23.252069000000002,76.1584869,MKC,Maksi,Shajapur,Madhya Pradesh,56
384,664455551,Dashnagar,station,station,DSNR,IR,no,22.597997300000003,88.30840380000001,DSNR,Dashnagar,Howrah,West Bengal,0
385,664455694,Ramrajatala,station,station,RMJ,IR,no,22.5886606,88.2966655,RMJ,Ramrajatala,Howrah,West Bengal,0
386,664459003,Serampore,station,station,SRP,IR,,22.7545791,88.3383079,SRP,Serampore,Hooghly,West Bengal,7
387,664467737,Bally,station,station,BLY,IR,,22.6550647,88.3403033,BLY,Bally,Howrah,West Bengal,0
388,664468000,Liluah,station,station,LLH,IR,,22.620902700000002,88.3394035,LLH,Liluah,Howrah,West Bengal,1
389,664468001,Belur,station,station,BEQ,IR,,22.6357323,88.33982230000001,BEQ,Belur,Howrah,West Bengal,0
390,664468968,Hind Motor,station,station,HMZ,IR,,22.6836507,88.3417989,HMZ,Hind Motor,Hooghly,West Bengal,0
391,664469183,Konnagar,station,station,KOG,IR,,22.70126,88.3425107,KOG,Konnagar,Hooghly,West Bengal,0
392,664469184,Rishra,station,station,RIS,IR,,22.7247059,88.34343530000001,RIS,Rishra,Hooghly,West Bengal,0
